ID,UserLanguage,Age,Institution,Inst_Type,Type,TypeA,Type_other,Type2,Type3,Children,USDA1,USDA2,USDA3,USDA4,USDA5,USDA6,USDA7,USDA8,USDA9,USDA10,USDA11,USDA12,USDA13,USDA14,USDA15,USDA16,USDA17,USDA18,FIRaw,FICat,FIBin,Foodprog,SNAP,WIC,TANF,FDPIR,NSLP,SBP,SFSP,Foodbank,Other,None,Obstacles,Foodpantry,Foodpantry_reasons,Foodpantry_reasons_other,Mealplan,Nutrmeals,Cost,Foodavail,Housing1,Housing2,Housing3,Housing4,Housing5,Housing6,Housing7,Housing8,Housing9,HIRaw,HIBin,Safety,Unsafe_why,Homeless_SR,Placesslept,Placesslept_other,Homeless_calc,Oncampus,Housingdiff,Housingdiff_why,Strategies,Strategies_other,Experience,Transportation,Trans_late,Trans_food,Trans_public,Trans_pub_notuse,Trans_pub_notuse_why,GAD1,GAD2,GADRaw,GADBin,PHQ1,PHQ2,PHQRaw,PHQBin,Socialsupp,Healthserv,Insurance,Nutrsec,Nutrbin,Disability,Disability_other,Levelstudy,Levelstudy_other,Fieldstudy,Fieldstudy_other,Q71_11_TEXT,GPA,Employment,Financialcontrib,Expenses,Expenses_other,Race,Race_other,Race2,Native,Native_other,Residency,Moreexpensive,Nmresident,Gender,Gender_other,Gender2,Transgender,Sexuality,Sexuality_other,Sexuality2,Military,Income,Income_other,OE1,OE2,OE3
7,EN,45 - 54 years,"University of New Mexico, Albuquerque",Fouryear,"Staff (Part-time, Full-time, or temporary)","Staff (Part-time, Full-time, or temporary)",,Staff,Faculty or Staff,No,0,0,0,,,,,,,,,,,,,,,,0,High,0,None of these,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,No,I do not need assistance with obtaining food and household supplies,,,Yes,6 to 10 dollars,I usually bring my own food or eat off of campus. However I appreciate the coffee shop and the Dions at our student union when I eat on campus. ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Very safe,,No,"In a rented or owned house, mobile home, or apartment with family (parent, guardian, or other relative)",,0,,,,I haven't done any of these,,none,Often true,Never true,Never true,No,There is no public transportation near my home,,Not at all,Not at all,0.0,0.0,Not at all,Not at all,0.0,0.0,Yes,Never,Yes,Never,0.0,"Living with a chronic medical condition (i.e. diabetes, high blood pressure, heart disease, etc)",,,,,,,,"Employed, full-time",Yes,,,White or Caucasian,,White,,,US citizen,,Yes,Woman,,Woman,No,Heterosexual/Straight,,Straight,Never served,"More than $70,000",,,"Community gardens, smaller food pantries distributed across campus",
24,EN,45 - 54 years,"University of New Mexico, Albuquerque",Fouryear,"Staff (Part-time, Full-time, or temporary)","Staff (Part-time, Full-time, or temporary)",,Staff,Faculty or Staff,No,0,0,0,,,,,,,,,,,,,,,,0,High,0,None of these,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,No,I do not need assistance with obtaining food and household supplies,,,Yes,6 to 10 dollars,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Very safe,,No,"In a rented or owned house, mobile home, or apartment (alone or with roommates/friends)",,0,,,,I haven't done any of these,,,Often true,Never true,Never true,No,Other,Prefer to drive myself,Several days,Several days,2.0,0.0,Several days,Several days,2.0,0.0,Yes,Never,Yes,Never,0.0,No disability or chronic medical condition,,,,,,,,"Employed, full-time",Yes,,,"Hispanic or Latinx,White or Caucasian",,Two or more,,,US citizen,,Yes,Woman,,Woman,No,Heterosexual/Straight,,Straight,Never served,"More than $70,000",,,,
73,EN,25 -34 years,Central New Mexico Community College,Twoyear,"Staff (Part-time, Full-time, or temporary)","Staff (Part-time, Full-time, or temporary)",,Staff,Faculty or Staff,No,1,0,1,0.0,,0.0,0.0,0.0,,,,,,,,,,,2,Marginal,0,None of these,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,lack of healthy fast options,No,The location is inconvenient,,,Yes,11 to 15 dollars,it is expensive,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0.0,3.0,1.0,Very safe,,No,"In a rented or owned house, mobile home, or apartment (alone or with roommates/friends)",,0,,,,I haven't done any of these,,,Often true,,Never true,No,I do not feel safe,,Not at all,Several days,1.0,0.0,Not at all,Not at all,0.0,0.0,Yes,Sometimes,Yes,Sometimes,1.0,No disability or chronic medical condition,,,,,,,,"Employed, full-time",Yes,,,White or Caucasian,,White,,,US citizen,,Yes,Woman,,Woman,No,Heterosexual/Straight,,Straight,Never served,"Between $40,000 and $54,999",,,,
95,EN,55 - 64 years,"Eastern New Mexico University, Roswell",Twoyear,"Staff (Part-time, Full-time, or temporary)","Staff (Part-time, Full-time, or temporary)",,Staff,Faculty or Staff,No,0,0,0,,,,,,,,,,,,,,,,0,High,0,None of these,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,No,I do not need assistance with obtaining food and household supplies,,,Yes,More than 15 dollars,Needs a wider variety,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,3.0,1.0,Very safe,,No,Prefer not to answer,,Prefer not to answer,,,,I haven't done any of these,,,Often true,Never true,Never true,No,Other,Have own vehicle,Not at all,Not at all,0.0,0.0,Not at all,Not at all,0.0,0.0,Yes,Never,Yes,Never,0.0,"Living with a physical disability,Living with a chronic medical condition (i.e. diabetes, high blood pressure, heart disease, etc)",,,,,,,,"Employed, full-time",Yes,,,White or Caucasian,,White,,,US citizen,,Yes,Man,,Man,No,Heterosexual/Straight,,Straight,Military veteran,"Between $55,000 and $69,999",,,,
96,EN,35 - 44 years,"Eastern New Mexico University, Roswell",Twoyear,"Staff (Part-time, Full-time, or temporary)","Staff (Part-time, Full-time, or temporary)",,Staff,Faculty or Staff,No,1,1,1,0.0,,0.0,0.0,0.0,,,,,,,,,,,3,Low,1,None of these,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,No,I do not need assistance with obtaining food and household supplies,,,No,11 to 15 dollars,"There is not a salad bar, mostly greasy food ",1.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,3.0,1.0,Moderately safe,,No,"In a rented or owned house, mobile home, or apartment with family (parent, guardian, or other relative)",,0,,,,Borrowing money from family or friends,,,Often true,Never true,Never true,No,"I do not feel safe,There is no public transportation near my home,Public transportation does not go where I need to go",,Nearly every day,Nearly every day,6.0,1.0,More than half the days,More than half the days,4.0,1.0,No,Sometimes,Yes,Sometimes,1.0,"Living with a chronic medical condition (i.e. diabetes, high blood pressure, heart disease, etc)",,,,,,,,"Employed, full-time",Yes,,,Hispanic or Latinx,,Hispanic,,,US citizen,,Yes,Woman,,Woman,No,Heterosexual/Straight,,Straight,Never served,Prefer not to answer,,,,
97,EN,35 - 44 years,"Eastern New Mexico University, Roswell",Twoyear,"Staff (Part-time, Full-time, or temporary)","Staff (Part-time, Full-time, or temporary)",,Staff,Faculty or Staff,No,0,0,0,,,,,,,,,,,,,,,,0,High,0,None of these,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,No,I do not need assistance with obtaining food and household supplies,,,No,6 to 10 dollars,It is very limited ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Very safe,,No,"In a rented or owned house, mobile home, or apartment (alone or with roommates/friends)",,0,,,,I haven't done any of these,,,Often true,Never true,Never true,No,Other,I have my own car,Several days,Several days,2.0,0.0,Not at all,Not at all,0.0,0.0,Yes,Never,Yes,Never,0.0,"Living with a chronic medical condition (i.e. diabetes, high blood pressure, heart disease, etc)",,,,,,,,"Employed, full-time",Yes,,,Hispanic or Latinx,,Hispanic,,,US citizen,,Yes,Man,,Man,No,Heterosexual/Straight,,Straight,Never served,"Between $40,000 and $54,999",,no,Provide more opportunities for students to learn more about programs to help with food and housing insecurity. ,
99,EN,18 - 24 years,"University of New Mexico, Albuquerque",Fouryear,"Staff (Part-time, Full-time, or temporary)","Staff (Part-time, Full-time, or temporary)",,Staff,Faculty or Staff,No,0,0,0,,,,,,,,,,,,,,,,0,High,0,None of these,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,No,"I do not need assistance with obtaining food and household supplies,Other students need this help more than I do",,,Yes,11 to 15 dollars,I wish there were more cheap and healthy options available and less fast food.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Very safe,,No,"In a rented or owned house, mobile home, or apartment (alone or with roommates/friends)",,0,,,,I haven't done any of these,,,Sometimes true,Sometimes true,Never true,No,"I do not feel safe,Other","Unreliable, infrequent times, poor route availability",More than half the days,More than half the days,4.0,1.0,More than half the days,More than half the days,4.0,1.0,Yes,Sometimes,Yes,Never,0.0,Living with a mental health condition,,,,,,,,"Employed, full-time",No,,,"Asian or Asian American,White or Caucasian",,Two or more,,,US citizen,,Yes,Woman,,Woman,No,Bisexual,,Bisexual ,Never served,"Between $55,000 and $69,999",,,,
108,EN,55 - 64 years,"Eastern New Mexico University, Roswell",Twoyear,"Staff (Part-time, Full-time, or temporary)","Staff (Part-time, Full-time, or temporary)",,Staff,Faculty or Staff,No,0,0,0,,,,,,,,,,,,,,,,0,High,0,None of these,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"None at this time, however, there have been times in my life when I did not eat so my child could as there was a limited amount of food and money available.  ",No,I do not need assistance with obtaining food and household supplies,,,No,More than 15 dollars,"If you don't eat the food in the cafeteria, there is only vending machines.  Need a health snack option on campus that is not a coffee wagon",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Moderately safe,,No,Other,none of these,0,,,,I haven't done any of these,,"none at this time, although this has happened in the past ",Often true,Never true,Never true,No,Other,i have not used public transportation in roswell ,Several days,Several days,2.0,0.0,Several days,Several days,2.0,0.0,Yes,,Yes,Rarely,0.0,"Living with a chronic medical condition (i.e. diabetes, high blood pressure, heart disease, etc)",,,,,,,,"Employed, full-time",Yes,,,White or Caucasian,,White,,,US citizen,,Yes,Woman,,Woman,No,Heterosexual/Straight,,Straight,Never served,"More than $70,000",,"Not at this time, but has in the past ",The food pantry and cosmo cares is good assistance.  ,not at this time.  
109,EN,55 - 64 years,"Eastern New Mexico University, Roswell",Twoyear,"Staff (Part-time, Full-time, or temporary)","Staff (Part-time, Full-time, or temporary)",,Staff,Faculty or Staff,No,0,0,0,,,,,,,,,,,,,,,,0,High,0,None of these,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,No,I do not need assistance with obtaining food and household supplies,,,Yes,6 to 10 dollars,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Very safe,,No,Other,Does not apply to me,0,,,,I haven't done any of these,,,Often true,,Never true,No,Other,Not applicable ,Not at all,Not at all,0.0,0.0,Not at all,Not at all,0.0,0.0,Yes,Never,Yes,Rarely,0.0,"Living with a chronic medical condition (i.e. diabetes, high blood pressure, heart disease, etc)",,,,,,,,"Employed, full-time",Yes,,,"Hispanic or Latinx,American Indian or Native American,Asian or Asian American,Black or African American,Middle Eastern, Mediterranean or North African",,Two or more,"Other Pueblo, Tribe, Nation (please specify)",Mexican Natives ,US citizen,,Yes,Man,,Man,No,Heterosexual/Straight,,Straight,Military veteran,"More than $70,000",,,Unsure,No
111,EN,45 - 54 years,"University of New Mexico, Albuquerque",Fouryear,"Staff (Part-time, Full-time, or temporary)","Staff (Part-time, Full-time, or temporary)",,Staff,Faculty or Staff,No,1,1,1,1.0,0.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,,8,Very low,1,None of these,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,No,Other students need this help more than I do,,,Yes,11 to 15 dollars,Our students are suffering,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,2.0,1.0,Very safe,,No,Other,N/a,0,,,,I haven't done any of these,,,,,Never true,No,There is no public transportation near my home,,Several days,Several days,2.0,0.0,Several days,Several days,2.0,0.0,Yes,Sometimes,Yes,Sometimes,1.0,No disability or chronic medical condition,,,,,,,,"Employed, full-time",Yes,,,Black or African American,,Black,,,US citizen,,Yes,Woman,,Woman,No,Heterosexual/Straight,,Straight,Never served,"More than $70,000",,,,
